sitename,Address,firstComplaint,lastComplaint,NumOfComplaints,NumOfCleanups,NumOfEncampments,NumOfCamps,NumOfOutreachContacted,NumOfOutreachReferred,MapLatitude,MapLongitude,TargetDate,CleanupScheduledOrCompleteDate,CleanupStatus,CleanupID,CleanupSiteCondition,ComplaintSiteCondition,InspectionSiteCondition,OutreachSiteCondition,PoliceSiteCondition,MaintenanceSiteCondition,InventoryInfo,Documents,EncampmentStatus
Interlaken Park,"Interlaken Blvd-Seattle, WA",8/3/2011,9/18/2017,11,6,0,6,1,1,47.63494496,-122.3073149,2/1/2016,1/2/2018,C,4443,,"1 Number of People, 1 Number of Structures, 1 Number of Structures, 1 Number of Structures, 1 Garbage / Litter, 1 Number of Structures, 3 Number of Structures, 1 Garbage / Litter, 1 Alcohol / Drugs, 1 Number of Structures, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
1525 11th Ave (old Value Village store),"1525 11th Ave, Seattle, WA 98122, USA",1/11/2016,1/11/2016,1,1,0,1,0,0,47.614725,-122.318523,2/1/2016,2/2/2016,C,4444,,,,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
I-5 on-ramp NB at NE 50th Street,N of 7th Ave NE and NE 50th Street,6/15/2010,1/11/2016,2,2,1,1,2,2,47.605078,-122.329974,2/1/2016,1/7/2016,C,4445,"1 Garbage / Litter, 1 Human Waste, ","1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Harvard Ave E & E Roy St,"Harvard Ave E & E Roy St, Seattle, WA 98102, USA",1/12/2016,1/12/2016,1,1,0,1,0,0,47.625123,-122.3223971,2/2/2016,1/19/2016,C,4446,"5 Number of Photos, 1 Personal Property Recovered, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ",,"1 Number of Structures, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Number of Photos, ",,,,,"Cleanup Doc:  002.JPG, 003.JPG, 004.JPG, 005.JPG, 006.JPG,     Inspection Doc:  009.JPG, 010.JPG,     Inventory Doc:      Site Doc:  ",Camping
Gasworks Park,"2101 N Northlake Way, Seattle, WA 98103, USA",3/22/2011,9/21/2018,50,20,2,18,9,9,47.646865,-122.333933,1/20/2016,1/29/2016,C,4447,"1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ","8 Number of People, 1 Garbage / Litter, 1 Human Waste, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Jose Rizal Park,"1008 12th Ave S, Seattle, WA 98144, USA",6/23/2008,1/24/2018,21,10,1,9,4,5,47.59276465,-122.3187733,2/2/2016,5/4/2017,C,4448,,"1 Garbage / Litter, 40 Number of Structures, 1 Garbage / Litter, 1 Fires, 1 Garbage / Litter, 1 Garbage / Litter, 1 Alcohol / Drugs, ","1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 1 Fires, 2 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Gilman Ave W & W Fort St (Near Railroad tracks),"Gilman Ave W & W Fort St, Seattle, WA 98199, USA",1/13/2016,7/30/2018,5,5,0,5,0,0,47.6606522,-122.3927636,2/3/2016,2/1/2016,C,4449,,,,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
I-5 & NE 55TH ST,"615 NE 55th St, Seattle, WA 98105, USA",1/14/2016,7/6/2016,3,1,0,1,0,0,47.668399,-122.321153,2/4/2016,8/2/2016,C,4450,,"3 Number of Structures, 1 Garbage / Litter, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Galer St Stairs,"Aurora Ave N & Galer St, Seattle, WA 98109, USA",8/9/2012,6/10/2016,4,4,0,4,1,1,47.6322517,-122.343674,2/4/2016,4/20/2016,C,4451,,"1 Alcohol / Drugs, ","1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
4602 14TH AVE NW,"4602 14th Ave NW, Seattle, WA 98107, USA",1/14/2016,12/27/2016,2,2,0,2,0,0,47.6623762,-122.3731882,2/4/2016,4/5/2016,C,4452,,,,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
8331 Dallas Ave S,"8331 Dallas Ave S, Seattle, WA 98108, USA",1/14/2016,1/14/2016,1,1,0,1,0,0,47.5287231,-122.3184756,2/4/2016,2/27/2016,C,4453,,"1 Property Damage, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
I-5 On-ramp @ N 107th St.,"2231 N 107th St, Seattle, WA 98133, USA",2/23/2015,4/23/2018,4,3,0,3,0,0,47.7068307,-122.3314122,2/4/2016,12/29/2016,C,4454,,,"2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
4th Ave N & Florentia (By Fremont Bridge),"316 Florentia St, Seattle, WA 98109, USA",1/14/2016,5/9/2018,5,2,0,2,0,0,47.64712927,-122.3500854,2/4/2016,4/5/2016,C,4455,"2 Personal Property Recovered, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ","2 Number of People, 2 Number of Structures, ","1 Number of People, 1 Garbage / Litter, 1 Human Waste, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Airport Way S & S Royal Brougham Way,"1220 Airport Way S, Seattle, WA 98134, USA",8/26/2010,8/27/2018,16,10,5,5,10,11,47.5924287,-122.3238869,2/4/2016,1/28/2016,C,4456,"4 Number of People, 9 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ","6 Number of Structures, 3 Number of People, ",,"7 Males Contacted, 1 Number of Shelter Referrals (Male), 1 Females Contacted, 4 Males Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
1st Ave S Btw Sears Building & 1st Ave Bridge,"4789 1st Avenue South, Seattle, WA 98134, USA",1/14/2016,10/5/2017,3,2,1,1,1,1,47.5588307,-122.3342289,2/4/2016,4/18/2016,C,4457,,"4 Number of Structures, 1 Garbage / Litter, 1 Criminal Activity, 1 Property Damage, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
9600 Myers Way S,"9600 Myers Way South, Seattle, WA 98168, USA",9/13/2013,4/8/2016,6,3,2,1,5,6,47.514572,-122.3305941,2/4/2016,4/19/2016,C,4458,"1 Number of People, 1 Number of Structures, ","1 Garbage / Litter, 1 Garbage / Litter, ","1 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, ","1 Males Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Queen Anne Greenbelt,"1254 Elliott Avenue West, Seattle, WA 98119, USA",3/15/2013,5/1/2018,26,7,3,4,11,11,47.62965259,-122.3699284,2/4/2016,4/12/2016,C,4459,"10 Number of People, 16 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Fires, 1 Alcohol / Drugs, 1 Property Damage, ","1 Number of Structures, 4 Number of Structures, 1 Garbage / Litter, 3 Number of People, 3 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Number of Structures, 1 Garbage / Litter, 1 Number of People, 3 Number of Structures, 1 Criminal Activity, 10 Number of People, 10 Number of Structures, 1 Garbage / Litter, ","3 Number of People, 3 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ","3 Males Contacted, 1 Number of Shelter Referrals (Male), 3 Males Contacted, 3 Number of Shelter Referrals (Male), 3 Males Contacted, 1 Number of Shelter Referrals (Male), 3 Males Contacted, 1 Number of Shelter Referrals (Male), 3 Males Contacted, 1 Number of Shelter Referrals (Male), 3 Males Contacted, 1 Number of Shelter Referrals (Male), 3 Males Contacted, 1 Number of Shelter Referrals (Male), ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Upper Kinnear Park,"899 West Olympic Place, Seattle, WA 98119, USA",5/8/2013,1/14/2016,2,2,0,2,1,1,47.6283245,-122.3676622,2/4/2016,11/6/2016,C,4460,,"5 Number of Structures, 1 Garbage / Litter, 1 Fires, ","4 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 1 Fires, 2 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 1 Encampment Premium (Parks), ","2 Males Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Cheasty Greenbelt 24th Ave S & S McClellan,"24th Ave S & S McClellan St, Seattle, WA 98144, USA",9/26/2011,4/9/2018,9,6,3,3,2,2,47.5783556,-122.3012839,2/4/2016,4/4/2016,C,4461,,"1 Human Waste, ","6 Number of People, 3 Number of Structures, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Longfellow Creek,"6917 23rd Ave SW, Seattle, WA 98106, USA",10/23/2008,12/8/2016,8,5,0,5,2,2,47.541183,-122.36254,2/4/2016,1/25/2016,C,4462,"2 Personal Property Recovered, 1500 Weight of Garbage (lbs), 28 Total Staff Hours, 1 Number of Structures, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 1 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ","1 Number of Structures, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 1 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ","1 Number of Structures, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 1 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
22nd Ave S & S Hill St,"2021 22nd Ave S, Seattle, WA 98144, USA",1/26/2012,7/20/2017,8,5,0,5,6,6,47.58489933,-122.303924,2/5/2016,6/9/2017,C,4463,,"1 Number of People, 1 Garbage / Litter, 1 Fires, 1 Property Damage, 5 Number of People, 2 Number of Structures, 2 Number of Vehicles, 2 Number of Structures, 1 Garbage / Litter, 3 Number of People, 3 Number of Structures, 1 Garbage / Litter, 1 Alcohol / Drugs, ","1 Number of People, 1 Number of Structures, 3 Number of Vehicles, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 1 Fires, 2 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 1 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
6th Ave &  James St,"500 6th Ave, Seattle, WA 98104, USA",7/1/2009,1/10/2018,25,18,9,9,28,28,47.6034623,-122.3274303,2/10/2016,11/23/2015,C,4464,"11 Number of People, 8 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Rats / Mice, ",,"11 Number of People, 8 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ","4 Males Contacted, 4 Number of Shelter Referrals (Male), 2 Females Contacted, 2 Number of Shelter Referrals (Female), ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Spokane St Viaduct west of 4th Ave S,"Spokane Street Viaduct, Seattle, WA 98134, USA",7/30/2014,2/14/2018,7,7,0,7,2,2,47.57169269,-122.3306244,2/10/2016,4/27/2016,C,4465,,"1 Garbage / Litter, 1 Human Waste, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
4th Ave S & I-90 off ramp,"1001 4th Ave S, Seattle, WA 98134, USA",11/18/2010,5/2/2018,6,5,2,3,2,2,47.5943903,-122.3290481,2/10/2016,5/8/2016,C,4466,,"1 Number of Structures, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
2900 block of Franklin Ave E,"2900 Franklin Ave E, Seattle, WA 98102, USA",7/1/2010,6/19/2017,3,3,1,2,3,3,47.6469878,-122.3234104,2/10/2016,8/8/2016,C,4467,,"1 Garbage / Litter, 1 Criminal Activity, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
NE 112th St & Roosevelt Way NE (at dead end),"1038 Northeast 112th Street, Seattle, WA 98125, USA",7/20/2015,3/6/2018,3,3,0,3,0,0,47.7100129,-122.316057,2/11/2016,4/7/2016,C,4468,,"2 Number of People, 2 Number of Structures, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
I-5 @ Madison under overpass,"Madison St, Seattle, WA, USA",1/21/2016,5/15/2018,3,3,3,0,1,1,47.60757692,-122.329068,2/11/2016,9/12/2016,C,4469,,"4 Number of People, 4 Number of Structures, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Magnolia Bridge (under) at 1401 W Garfield St,"1401 West Garfield Street, Seattle, WA 98119, USA",12/10/2014,3/22/2018,7,5,2,3,0,0,47.6333207,-122.3752955,2/11/2016,2/16/2016,C,4470,,"1 Garbage / Litter, ","8 Number of People, 8 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Rats / Mice, 15 Number of Photos, ",,,,,"Cleanup Doc:      Inspection Doc:  005.JPG, 006.JPG, 007.JPG, 008.JPG, 009.JPG, 010.JPG, 011.JPG, 012.JPG, 013.JPG, 014.JPG, 015.JPG, 016.JPG, 017.JPG, 018.JPG, 019.JPG,     Inventory Doc:      Site Doc:  ",Encampment
4th Ave & S  Royal Brougham Way,"1201 4th Ave S, Seattle, WA 98134, USA",10/7/2015,5/12/2017,7,5,2,3,3,3,47.59195163,-122.3307307,2/12/2016,2/5/2016,C,4471,"4 Number of People, 5 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ","1 Garbage / Litter, ","4 Number of People, 5 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ","4 Males Contacted, 1 Number of Shelter Referrals (Male), ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
5th Ave NE & NE 55th St (at sound barrier wall),"5419 5th Ave NE, Seattle, WA 98105, USA",1/22/2016,2/17/2016,3,2,1,1,0,0,47.668464,-122.323168,2/12/2016,2/1/2016,C,4472,"2 Personal Property Recovered, 3 Number of People, 2 Number of Structures, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ","1 Number of Structures, 1 Garbage / Litter, 4 Number of Structures, ","3 Number of Structures, 1 Garbage / Litter, 5 Number of Photos, ",,,,,"Cleanup Doc:      Inspection Doc:  001.JPG, 002.JPG, 003.JPG, 004.JPG, 005.JPG,     Inventory Doc:      Site Doc:  ",Encampment
1300 Madison St,"1300 Madison St, Seattle, WA 98104, USA",1/25/2016,1/25/2016,1,1,0,1,0,0,47.6107186,-122.3225584,2/15/2016,2/5/2016,C,4473,,"5 Number of People, 1 Garbage / Litter, 1 Criminal Activity, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Behind 1300 W Nickerson St - south end Ballard Bridge,"1300 W Nickerson St, Seattle, WA 98119, USA",1/25/2016,5/8/2018,5,3,0,3,0,0,47.655621,-122.3747343,2/15/2016,4/26/2016,C,4474,"1 Number of Structures, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ","12 Number of People, 5 Number of Structures, 1 Garbage / Litter, 1 Criminal Activity, 3 Number of Structures, 1 Garbage / Litter, 1 Property Damage, 4 Number of People, 2 Number of Structures, 1 Garbage / Litter, ","1 Number of People, 2 Number of Structures, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Wallingford Playfield,"4219 Wallingford Ave N, Seattle, WA 98103, USA",7/13/2011,8/22/2018,4,4,0,4,0,0,47.6582048,-122.3362464,2/16/2016,2/1/2016,C,4475,"2 Number of Vehicles, ","1 Number of Structures, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
15TH AVE W & W EMERSON ST,"15th Avenue West & West Emerson Street, Seattle, WA 98119, USA",7/14/2015,5/7/2018,9,5,2,3,2,2,47.6537021,-122.3762602,2/16/2016,4/26/2016,C,4476,"1 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ",,"3 Number of People, 3 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ","3 Males Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Carkeek Park off Pipers Creek Trail,"400 Northwest 100th Place, Seattle, WA 98177, USA",1/30/2015,10/23/2018,11,7,1,6,0,0,47.703683,-122.362669,2/16/2016,1/28/2016,C,4477,"2 Personal Property Recovered, 250 Weight of Garbage (lbs), 100 Total Labor Costs ($), 4 Total Staff Hours, 1 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 2 Property Damage, ",,"1 Number of People, 1 Number of Structures, 1 Number of Photos, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Century Link Switching Field,"1000 4th Avenue South, Seattle, WA 98134, USA",4/18/2014,4/5/2016,3,2,2,0,3,3,47.594304,-122.328454,2/16/2016,3/28/2017,C,4478,"1 Personal Property Recovered, 44 Number of People, 77 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Rats / Mice, 1 Hazardous Materials, 1 Fires, 1 Criminal Activity, 1 Weapons, 1 Alcohol / Drugs, 1 Property Damage, ","1 Garbage / Litter, 1 Garbage / Litter, ","78 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Rats / Mice, 1 Hazardous Materials, 1 Fires, 1 Criminal Activity, 1 Alcohol / Drugs, 1 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
66 Bell St,"66 Bell St, Seattle, WA 98121, USA",4/2/2009,4/6/2017,14,10,1,9,7,7,47.6129836,-122.3470758,2/16/2016,3/29/2016,C,4479,,"1 Garbage / Litter, 1 Human Waste, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
w. Duwamish GB Central,"6110 W Marginal Way SW Seattle, WA",1/27/2016,1/27/2016,1,1,0,1,0,0,47.54783621,-122.3454664,2/17/2016,1/31/2017,C,4480,,"2 Number of People, 1 Number of Structures, 1 Garbage / Litter, 2 Fires, 2 Property Damage, ","1 Garbage / Litter, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Judkins Park,"2150 S Norman St, Seattle, WA 98144, USA",1/27/2016,8/13/2018,4,2,0,2,0,0,47.5930355,-122.3036229,2/17/2016,8/30/2016,C,4481,,"1 Number of Structures, 1 Garbage / Litter, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Green Lake - N 70th & Aurora Ave N,"7201 E Green Lake Dr N, Seattle, WA 98115, USA",1/28/2016,9/28/2017,9,5,0,5,0,0,47.681249,-122.3444192,2/18/2016,2/4/2016,C,4482,,"2 Number of Structures, 2 Number of Structures, 2 Number of Structures, 1 Number of Structures, ","4 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Parking lot at 10th Ave E & E Garfield St,"10th Ave E & E Garfield St, Seattle, WA 98102, USA",1/28/2016,1/28/2016,1,1,0,1,0,0,47.6330496,-122.3199517,2/18/2016,2/1/2016,C,4483,,"1 Number of People, 1 Number of Structures, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
5th Ave NE & NE 54th St,"5th Ave NE & NE 54th St, Seattle, WA 98105, USA",1/29/2016,3/9/2018,5,2,1,1,0,0,47.667866,-122.3228698,2/19/2016,2/1/2016,C,4484,,"8 Number of People, 4 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Weapons, ","3 Number of Structures, 1 Garbage / Litter, 9 Number of Photos, ",,,,,"Cleanup Doc:      Inspection Doc:  001.JPG, 002.JPG, 003.JPG, 004.JPG, 006.JPG, 007.JPG, 008.JPG, 009.JPG, 001.JPG, 002.JPG, 003.JPG, 004.JPG, 006.JPG, 007.JPG, 008.JPG, 009.JPG,     Inventory Doc:      Site Doc:  ",Encampment
