Log Number ,Date of Collection,Camp Location,"Name  (None, Found in Debris-FID, Self Packed )",Description,Bike Count,Disposed after ,Target Disposal Date,Disposed (Yes/No = Delivered),
1865,6/20/2023,S Dearborn St btwn 10th Ave S & 9th Ave Under I-5,T1-TH-0620,"Black sleeping bag Stone & Co brand brown mini backpack, 1st aid kit, Red bag, Silver crpss with Blue glass panel.  Micro touch rechargining shaver, Keyring 4 keys, 2 with lue tops for master locks, Coleman propane lanterna (Black), $25 cents, copper braclet, Brown charger, pair of scissors, nail clippers, pens in silver cups, ",,70 Days,8/29/2023,yes,
1866,6/20/2023,NE 71st St & E Greenlake Way N,T2-JB-0620,"Blue tote of books, jumper cables, partial set of sockets, damaged Auster guitar, Blue huffy bike, Black and Decker electric lawn mower, Doona child car seat, pickle ball, extension cord orange.",,70 Days,8/29/2023,yes,
1867,6/21/2023,Ravenna Park,T1-SP-0621,Blue Tarp,,70 Days,8/30/2023,yes,
1868,6/21/2023,Ravenna Park,T2-SP-0621,"2 Black bags, Blue bag, Yellow tent, Red bag, EBT Card, Debit card, True temper wheel barrel, Blue blanket w/black strips",,70 Days,8/30/2023,yes,
1869,6/22/2023,S Industrial Way & Airport Way S,T2-TH-0622,"Black purple suitcase filled with clothes, Black change bag  w/clothes, Gray bag with personal papers, Green briggs & ricey big bag with clothes, H&M brand blue jacket, Baseball cap, Large rolling suitcase, Black backpack, Black trash bags of clothes and shoes",,70 Days,8/31/2023,no,
1870,6/22/2023,S Main St & Alaskan Way S,T2-KJ-0622,"Holy Bible Black cover in a black bag, Quan black cover gold writing, Holy Bible brown cover in grey bag, Clear bag with misc newspaper, Blue & orange tent with poles, Grey bag with porn magazines, Grey bag with Almanac",,70 Days,8/31/2023,yes,
1871,6/26/2023,2nd Ave & Lenora St,T1-KJ-0626,"White suitcase w/,isc clothing & personal hygeine, Grey & Blue Coleman tent, Blue sleeping bag, large blue blanket.",,70 Days,9/4/2023,yes,
1872,6/27/2023,NE 71st St & NE Ravenna Blvd to E Greenlake Way N,T1-JB-0627,"Orange columbia suitcase, Black ricardo suitcase work boots, White red shoes, Phone mount, Chili lights, Keys milwaukee red and black tools, 2 damage phones, various finanical style cards, notebooks brown bag with journal style notebooks and paperwork. ",,70 Days,9/5/2023,yes,
1873,6/29/2023,Volunteer Park,T1-JL-0629,"White shoes, Brown shoes, White bag w/misc clothing, 2 Blue bag w/misc clothes, empty Black backpack, ID-Anna Desimone, Gray blanket, White hoodie, Black suitcase w/misc clothes, 2 Small empty jewelry boxes, Small Red skateboard, small air pump, small tablet, small clear box w/misc cords, Pair of Black shoes, Green black shoes w/black phone inside, Blue suitcase w/misc clothes.",,70 Days,9/7/2023,yes,
1874,6/30/2023,Cascade Playground,T1-JB-0630,"Blue grey ten, bag w/art supplies, stickers, mail. Black silver bedding, spiral style journals tatto design book. Which case with ear buds, pens, pencils, coloring books. ",,70 Days,9/8/2023,yes,
1875,6/30/2023,Cascade Playground,T2-JB-0630,"Blue silver tent and tarp folded next to green bag with hygiene items, self-care items. Orange pails with more personal items shampoo, soaps, lotions, scub brush. Box of tea, small articles of clothing folded. (Near fence and bushes in NW part of park)",,70 Days,9/8/2023,yes,
1876,6/30/2023,S Dearborn St btwn 7th Ave S & Maynard Ave S,T1-TH-0630,"Logitech speaker black, Green bag clothing, Memorex cd player, Black gray tarp, green bag with personal care items, charger cord, Black green headphones, Black grary backpack, Black helmt",,70 Days,9/8/2023,yes,
1878,7/3/2023,Washington S east of Occidental Ave,T1-SP-0703,"Black orange standsport tent, Black Olympia suitcast with red trimming full of clothing, grey blankets, Pack of clear plastic notebook folders, bottle of Gold bond eczema relief, small black rubbermaid broom, pair of red nike shoes. (Items were stolen of city truck)",,70 Days,9/11/2023,yes,
1877,7/5/2023,Utah Ave S from S Atlantic St to S Stacy St,T1-JB-0705,"Black backpack, small orange sleep mat, Blue sleeping bag, misc folded clothes.",,70 Days,9/13/2023,yes,
1879,7/9/2023,Washington St btwn Occidental & 1st Ave,"[Name Withheld]
T1-TH-0709","Blue tent in Black plastic bag, Black plastic bag of clothes, green suitcase",,70 Days,9/17/2023,yes,
1880,7/12/2023,Occidental Square,T1-SP-0712,"4 grey blankets, Dark blue suitcase w/clothing and misc items, 3X Seahawk Sweater",,70 Days,9/20/2023,yes,
1881,7/12/2023,Mathews Beach,Fid,"Small blue childrens bike, gray cast boot type in plastic bag.",1,70 Days,9/20/2023,yes,
1882,7/12/2023,Alley behind 2044 NW Market St,T1-JB-0712,"Black AT&T phone, VISA ""Washington Quest",,70 Days,9/20/2023,yes,
1883,7/13/2023,6th Ave btwn Columbia St to Cherry St,T1-TH-0713,"Blue tent ""Pacific pass brand"", 20 dollar bill, Yellow Rope, Bottlw of K2D3 vitamins, White mirror, Black composition notebook",,70 Days,9/21/2023,yes,
1884,7/18/2023,10th Ave E & E Denny Way,T1-KJ-0718,"Orange grey sleeing bag, 48' inflatable pink print camo, pair of white vans tennis shoes sz 10.5, box of card game, new in box, pair of black spiked boots sz 6",,70 Days,9/26/2023,yes,
1885,7/19/2023,Occidental Square,T1-SP-0719,"Notepad, Phone w/broken screen, Bandages in ziplocs, Small sledge hammer, Grey blanket, Green grey sleeping bag.",,70 Days,9/27/2023,yes,
1886,7/20/2023,Alaskan Way S & S Massachuetts St,T1-TH-0720,"Grey red Colman tent, Green sleeping bag in white plastic bag, Brown tarp",,70 Days,9/28/2023,yes,
1887,7/20/2023,S Industrial Way & 7th Ave S,T1-TH-0720,"Pink men bike Black yellow Dewalt bag and cordless tool battery, Brown shoes, Narcan, Roll of tape, Green black bag of clothes, Jeans, $3 in cash, Orca Card, Black jacket. ",,70 Days,9/28/2023,yes,
1888,7/20/2023,Freeway Park,"[Name Withheld]
[Phone # Withheld]",Self-Stored 2 Black bags of bedding and blankets,,70 Days,9/28/2023,yes,
1889,7/24/2023,Occidental Square,T1-SP-0724,"Black samsonite suitcase with clothing and toilitries, Suitcase with pair white nikes, Green pillow and blanket, Grey blanket, Sheets Pink stuffed animal purse",,70 Days,10/2/2023,yes,
1890,7/27/2023,Harborview Hills at I-5,T3-JL-0727,"Blue Tent, Book",,70 Days,10/5/2023,yes,
1891,7/27/2023,Harborview Hills at I-5,T4-JL-0727,Picture in clear frame,,70 Days,10/5/2023,yes,
1892,8/1/2023,Ballard Commons Park,T1-SP-0801,Razor Scooter,,70 Days,10/10/2023,yes,
1893,8/2/2023,Utah Ave S btwn S Stacy St & S Holgate St,T1-TH-0802,"Blue gray tent orange trim, Black backpack full of clothes, Red backpack full of personal care items, Gray bag of clothes, Blue hooode, Black Bike helmet.",,70 Days,10/11/2023,yes,
1894,8/7/2023,3212 NE 125th St,[Name Withheld],"Self-Stored White TV, Silver bike, Blue bike, Gray bike, Yellow bag w/misc tools, Small black suitcase w/misc items, Long electric polesaw, microwave",3,70 Days,10/16/2023,yes,
1895,8/7/2023,3212 NE 125th St,[Name Withheld],"Self-Stored Skis, Black folding chair",,70 Days,10/16/2023,yes,
1896,8/7/2023,Shilshole Ave NW & 24th Ave NW,T2-KQR-0807,"Painting Eiffel Tower, Painting Golden Gate Bridge",,70 Days,10/16/2023,yes,
1897,8/10/2023,Georgetown Playfield,T1-TH-0810,Black mens bike,1,70 Days,10/19/2023,yes,
1898,8/10/2023,Georgetown Playfield,T2-TH-0810,"Green backpack with clothes, hat, combs",,70 Days,10/19/2023,yes,
1900,8/18/2023,8842 Nesbit Ave N,T1-KJ-0818 (FID),ServPro Hepa 500 Air scrubber negative air machine,,70 Days,10/27/2023,yes,
1901,8/18/2023,8842 Nesbit Ave N,T3-KJ-0818,"Misc hand tools, Samsung tablet, JBL headphones, Earbud, yello extension cord, Dewalt measuring tape",,70 Days,10/27/2023,yes,
1899,8/22/2023,24th Ave NW & Shilshole Ave NW,T3-KQR-0822 (FID),75 in LG Mano TV serial #010RMDZ2S618 (4135),,70 Days,10/31/2023,yes,
1902,8/24/2023,North Acres Park,[Name Withheld],"Self-Stored Black backpack w/clothes, Red black heater, Black heater, Tent in bag, Tarps, sleeping bags, Blue chair, Blue cot, Personal paperworkd, mail in white bag, books, pillow, weights, Green cart, hanger, Green duffel bag, Green black duffel bag and boots.",,70 Days,11/2/2023,,
1903,8/28/2023,10th Ave S & S Main St Vicinity,T2-SP-0828,"Blue Coleman cooler, Black umbrella, books, Tide pods, Red Nike Shoes, Brown/grey shoes, Black Fila sandals, $100 visa gift card, Red pan",,70 Days,11/6/2023,no,
1904,8/29/2023,Lincoln Park,T1-TH-0829,"Peach bag w/personal items, Man's tarnished ring, Gold braclet w/stones, Jade button, Blue backpack w/Apple iPad, phone charger, Plyers, Inhaler, Flashlight, Unit of Narcan, Propane torch, Blue bag w/personal items, Gray multi blanket, Blue blanket, Blue/white/red bed sheets.",,70 Days,11/7/2023,yes,
1905,8/30/2023,Rainier Ave S & I-90 Light Rail Station,[Name Withheld],"Self-Stored Black footlocker locked w/2 locks, small black suitcase w/canned goods, extension cord, phone case, Black guitar case w/o guitar, black hammock w/grey cover, Black backpack w/personal hygiene",,70 Days,11/8/2023,No,
1906,9/1/2023,Nesbit Ave N & from N 90th St to N 88th St,T2-JB-0901,"Grey brown tent, Large canopy, Grey folding chair, Brown bar style chair",,70 Days,11/10/2023,yes,
1908,9/6/2023,3rd Ave S & S Holgate St Vicinity,T1-JL-0906,"Blue boxes w/misc clothes & items, Blue bag w/clothes, Black bag w/bedding, Small boxes of Harry Potter"" cassette tapes, Misc clothing",,70 Days,11/15/2023,yes,
1910,9/12/2023,Fremont Canal Park,T1-KQR-0912,"Grey, orange, white Golden Baer tent, Pair of coma pants, pair mechanic gloves",,70 Days,11/21/2023,yes,
1911,9/12/2023,Fremont Canal Park,T2-KQR-0912,"Light blue Coleman tent, multi colored blanket, gold colored quilt, Grey quilt, 2 pillows, Light blue tank top, white suff animal, Mixit open toed sandals, Black bag w/clothing, Black and bag filled w/makeup, 1 gold colored triangle earing, London fog suitcase, Ricardo suitcase w.combo locks, Silver Raleigh bike.",1,70 Days,11/21/2023,no,
1909,9/13/2023,10700 Corliss Ave N,[Name Withheld],"Self-Stored Black Duchamp backpack, Grey tent w/poles, Brown duffel bag, Red tote, Blue tote, Grey canon Wheels, Folding chair, Green backpack, Red folding grill, Black backpack red cross on it, Black suit case, Green/white cooler, Green backpack, Black grocery style bag, Black/white floral storage bag.",,70 Days,11/22/2023,yes,
1912,9/14/2023,Queen Anne Greenbelt ,T1-KQR-0914,"Orange Orion backpack, empty Green Atlantic suitcase, empty Ourple American tourist suitcase, Black pacific coast signature suitcase filled with clothing, zipper is damaged, Black suitcase filled with clothing no brand name, Franklin electronic thesaurus & dictionary. ",,70 Days,11/23/2023,yes,
1913,9/22/2023,Alki Beach Park,[Name Withheld],"Self-Stored 2 truck dollys, 1 black event canopy",,70 Days,12/1/2023,yes,
1756,9/30/2023,9th Ave NE between NW 54th St & NW Market St,T1-TH-0930,"1 large & 1 small black metal foldable pet crage; 10 light fixtures; 1 tool belt; 1 porter-cable pancake air compressor; 1 patton brand black & red floor fan; 1 blue & green ""rock hopper"" brand mens bicycle; 1 visa gift card; 1 blue roller stand; 1 green Wholefoods tote bag; 1 silver & grey tent w/ poles; 1 blue tent rain cover",1,70 Days,12/13/2023,yes,
1914,10/4/2023,Western Ave from Columbia St to Yesler Way,T1-SP-1004,"Pair of Orange hawk boots, set of keys, toyota car keys, Nicotine vaping device, vape pods",,70 Days,12/13/2023,yes,
1915,10/18/2023,2nd Ave from Blanchard St to Lenora St,T1-SP-1018,"2 Ozark tent (grey & Black/Red), Black suitcase, Women's Clothing, Creative markers, Teal bag, White heels, 3 rugs (2 red 1 blue), Blue bag w/clothing and black nike shoes. ",,70 Days,12/27/2023,yes,
1920,10/20/2023,NW 46th St,T1-KQR-1020,"Blue Coleman cooler, sealed around is partially damaged.",,70 Days,12/29/2023,yes,
1916,10/25/2023,Pioneer Square Pergola,T2-SP-1025,"Blue sleeping, Red/grey Colman tent, Black/white bag, Blue fila bag w/clothing, Orange tape,  Red power drill, Yellow dewalt battery and charger, Pens. ",,70 Days,1/3/2024,yes,
1917,10/26/2023,NW Leary Way and from 14th Ave NW to 15 Ave NW,T2-JB-1026,"Black suitcase w/wheels clothing feminine hygiene items pillow in plastic, Red colman tent w/poles, Knit syle clothing brown tan white color.",,70 Days,1/4/2024,yes,
1918,10/27/2023,11th Ave from E Howell St to E Olive St,T1-KJ-1027,"Blue pop-up canopy, Blue white Colman tent, White igloo large cooler w/cleaning products & personal hygiene, Small vacuum, Blue grey medium size igloo cooler, Metal can-like device appears to be for lighting, Green large golfing bag w/clothes & shoes, Green wheel barrow, 4 pairs of shoes & slides in Blue storage bin w/no top (Bin broken disposed of), Blue small luggage suitcase.",,70 Days,1/5/2024,yes,
1919,10/27/2023,University Playground,T1-JB-1027,Yello & Tan Core Equipment tent w/rainfly and poles,,70 Days,1/5/2024,yes,
1921,11/1/2023,Shilshole Ave NW,T2-KQR-1101,"10 serological pipette glass tubes of various size. 1500 ml glass flask. 1000 mil glass thermometer. Box flask erlemmeyer narrow, heavy duty rim 7740 glass.  Green flashlight, Green silver flashlight. Red black handle magna cart. Beats by Drebluetooth headphone one black one blue in case. Green water bottles.  10430 hand refractometer.  Black eye glasses with blue tape on either end.  Empty red tin can. Swift M3500D microscope with tag identifying it to be property of Mercer Island School District, called the district about the microscope and will make arrangements to deliver property to them. ",,70 Days,1/10/2024,yes,
1922,11/1/2023,Shilshole Ave NW,T3-KQR-1101,"Red grey Ozark trail sleeping bag.  Brown pink interior L.E.I hooded jacket. Reddish Herschel backpack, pair XS brown winter gloves, Medication bottle Ibuprofen, bottle Aceteminpol, Pair of blue Kirkland pants, Batman wallet with various id cards.  Belifu muscle stimulator. Green white Ozark trail tent with poles and various keys.",,70 Days,1/10/2024,yes,
1925,11/7/2023,Tashkent Park,T1-KJ-1107,"Black multi-level push cart, Blue push cart, Costco Silver dolly, Black eletric Hiboy scooter, Black Puma duffel bag w/misc clothing, Red drawstring bag w/ misc makeup, Clear plastic bag w/Blue grey tent w/poles. ",,70 Days,1/16/2024,yes,
1926,11/7/2023,S King St & 8th Ave S,T2-KJ-1107,"Black large suitcase, pair of women size 6.5 shoes, black brown boots, Black Tommy Hilfinger coat, Brookston percussion maddage in box, Blue blanket, Black large Mann Titan water jug. ",,70 Days,1/16/2024,yes,
1927,11/7/2023,S King St & 8th Ave S,T3-KJ-1107,Blue grey Colman Tent,,70 Days,1/16/2024,yes,
1923,11/13/2023,4th & Yesler,T1-SP-1113,"Green Blanket, 2 grey blankets, Teal mirror (cracked on one side), Instant power portable battery charger, Black jacket, Female clothing, Blue umbrella, Black bucket",,70 Days,1/22/2024,yes,
1924,11/15/2023,3rd Ave & James St,T1-SP-1115,"Grey blue tent, Red & dark blue shoes, Orange pliad jacket, Blue tarp with small rip, Black & green army jacket w/small hole",,70 Days,1/24/2024,yes,
1928,11/20/2023,14th Ave W parking lot,T1-KQR-1120,"10 bottles of medication, Cartia xt, Diltiazem HCL, Amtriptyline, Ranitidine, Prazosin, Nortriptyline, Testorone, 3 bottles of 40 mg Opemrazole, Red 6500 Trek mountain bike w/broken seat.",1,70 Days,1/29/2024,yes,
1929,11/29/2023,Ravenna Bld and E Greenlake Way,T1-JB-1129,"Black tool box, small blue ridge wording with tools inside.",,70 Days,2/7/2024,yes,
1930,12/7/2023,NW Leary Way from 11th Ave NW to 14th Ave NW,[Name Withheld],"Green climbing style bag w/non perishable supplies and tools.  Black backpack w/tools and household items.  Yellow tote w/laptop, various electronics and tools.  Black bag with various footwear, Collins [ick style ax.",,70 Days,2/15/2024,yes,
1932,12/7/2023,Broadway Hill Park,T1-KJ-1207,"Black backpack w/personal items and misc makeup, Green notebook, Blue notebook w/personal writings, Notebook w/Merlin phone #s, and Jade",,70 Days,2/15/2024,yes,
1933,12/20/2023,Broadway Hill Park,T1-KJ-1220,"Metal basket cart, Green case w/clarinet, BMX Mongoose Bike",1,70 Days,2/28/2024,yes,
1934,12/21/2023,6th Ave & Cherry St,T1-KJ-1221,"Black Puma backpack w/personal hygiene, Green sleeping bag, Blue sleeping bag, Black nylon bag w/misc clothing, Black laptop bag w/misc hygiene Blue blanket, Multi color shopping bag w/glassware",,70 Days,2/29/2024,yes,
1935,12/21/2023,6th Ave & Cherry St,T2-KJ-1221,"Misc women clothing, Grey blanket",,70 Days,2/29/2024,yes,
1936,12/29/2023,7th Ave S & S Alaska St,T1-JL-1229,"Pink bag w/misc clothing, Red suitcase w/shoes. Red backpack w/misc clothing, Black plastic craftsman toolbox.",,70 Days,3/8/2024,yes,
1937,1/4/2024,Thomas St Mini Park,T1-KJ-0104,"3 Skateboards w/wheels, 2 Skateboards w/o wheels, Red metal can w/Pokeman cards, Black white men van shoes, Maxwest cellphone cracked screen, Silver lantern, Red latern, Coleman lantern w/case, camping shovel, Ibpufren bottle. ",,70 Days,3/14/2024,yes,
1938,1/5/2024,Magnolia Bridge,T1-SP-0105,"Black sleeping bag, Hammer, EBT card, $1 dollar bill, Pink hand truck, Silver hand truck",,70 Days,3/15/2024,yes,
1939,1/9/2024,Freeway Park,T2-KJ-0109,"Brown fleece blanket, Green fleece blanket, Brown duffel bag w/blk wht blaneket and hair straighener, Light blue Stanley cup, Blue pink make up bag w/various makeup inside, box of candles. Planning calendar w/Ashley Joy Abrahamson or Jacob Lopez",,70 Days,3/19/2024,yes,
1940,1/19/2024,7th Ave S & Airport Way S,FID,"Orange Childs bike, Blue bike",2,70 Days,3/29/2024,yes,
1945,1/24/2024,Leary Way,T1-KQR-0124,Black zoomer battery operated whieelchair w/o battery,,70 Days,4/3/2024,yes,
1941,1/26/2024,Hubbard Homestead Park,T1-JB-0126,"Grey pull cart with wheels, Black small knife, Bundle of utility rope, Personal journal paper",,70 Days,4/5/2024,yes,
1942,1/29/2024,Carkeek Park,T2-JB-0129,"Green cooking stove, Pleastic bin with sport cards",,70 Days,4/8/2024,yes,
1943,1/29/2024,Carkeek Park,[Name Withheld],Silver/black Schwin bike,1,70 Days,4/8/2024,yes,
1946,1/30/2024,Freeway Park,T2-KJ-0130,"Blue green Coleman Teant, Large Camo Tarp",,70 Days,4/9/2024,yes,
1944,2/1/2024,9th Ave from Virginia to Stewart,T1-SP-0201,"Tools (srew driver, wrench, pliers), Black tree metal bin w/toys, Multicolor grey beanies, Black tree metal bin w/color pencils, Blue American Tourist suitcase, Trash bags w/9 Squishmellows, Green bag w/make-up, Colored Pen.",,70 Days,4/11/2024,yes,
1947,2/2/2024,Tashkent Park,T1-KJ-0202,Black Samsung phone w/cracked screen,,70 Days,4/12/2024,yes,
1948,2/5/2024,Cherry St btwn 6th Ave & 7th Ave,T1-KJ-0205,"Camo blanket, Green orange sleeping bag, Grey sleeping pad, multicolored blanket, pack of beads.",,70 Days,4/15/2024,yes,
1949,2/6/2024,Fairview Ave N & Mercer St Vicinity,T1-SP-0206,"Wheelchair, Green floral Mat, Metal canister, 3 assorted metal tools",,70 Days,4/16/2024,yes,
1950,2/8/2024,Jackson Golf Course,T2-KQR-0208,"Skateboard, Blue Addidas bag w.books & paperwork.  Blue sleeping bag, Blue collaspible tent, Styrofoam box w/drum.  Green container w/blue tarp, Trader Joe bag w/misc items. Green tent in green bag w/poles.  Black plastic garbage bag filled with blanket and misc personal items. ",,70 Days,4/18/2024,yes,
1951,2/8/2024,Jackson Golf Course,T1-KQR-0208,Violin w/2 strings and an extra string in black case.  Blue containier various DVD/CD case.  Mr. Coffee maker w/cup.  Kitchen knives of different sizes.,,70 Days,4/18/2024,yes,
1952,2/13/2024,Shilshole Ave NW from 22nd Ave NW to 24th Ave NW,T2-SP-0213,Green and grey tent,,70 Days,4/23/2024,yes,
1953,2/14/2024,2nd Ave,T2-KQR-0214,"Green grey Tent, Blue tarp, Black blue bag w/2 power cords and 1 putty knife. Black green white backpack filled with misc items",,70 Days,4/24/2024,yes,
1954,2/14/2024,2nd Ave,T1-KQR-0214,"Bue tent, Red black bike",1,70 Days,4/24/2024,yes,
1955,2/14/2024,Interurban Trail,T1-JB-0214,"Black hand bag w/personal paper work.  Collection of pocket knives, Kodack camera, HP laptop, Small hatchet, Red hand tool, Airpod case, Orange emergency tool, Portable light, Black bag w/assorted hygiene products. ",,70 Days,4/24/2024,yes,
1956,2/15/2024,Ballard Library Vicinity,T1-SP-0215,Blue and grey tent,,70 Days,4/25/2024,yes,
1957,2/15/2024,17th Ave NW from NW 50th St to NW 49th St Vicinity,T2-SP-0215,"Green Coleman tent - small hole on the bottom. Black blue gloves, Yellow beanie, Dayquil, Nyquil, Antibotic, Black gloves",,70 Days,4/25/2024,yes,
1958,2/16/2024,Jackson Golf Course,[Name Withheld],"Green skateboard, 2 Hover board units, Toolbox on wheels empty, Dewalt black yellow organizer, Husky toolbox on wheels, with personal items, Red Milwauke toolbox, Solar panel, Step ladder",,70 Days,4/26/2024,yes,
1959,2/16/2024,Jackson Golf Course,[Name Withheld],"Collapsable tables, 10 ft ladder, Sledge hammer, Flathead shovel, 3 spade shovels, rake, 2 hoes, mini spade shovel, broom.",,70 Days,4/26/2024,yes,
1961,2/20/2024,2nd Ave,T1-KQR-0220,"Blue tent, grey blanket, loose change 85 cents",,70 Days,4/30/2024,yes,
1963,2/21/2024,NW Ballard Way and Leary Way NW Vicinity,T1-SP-0221,"Teal and grey Coleman tent, Black Lantern, Purple blanket, 2 kithcen bowls, Hygrogen peroxide bottle, 4 new printer ink cartridges, Purple UW shirt, Black white UW shirt, Grey boost bag, Black belt, Black DKNY jacket, Blue jeans, 2 Vape bottles pink and blue, New knife sharpner, Black blue shirt, White hat",,70 Days,5/1/2024,yes,
1964,2/23/2024,NW Market St from 8th Ave NW to 9th Ave NW,T1-SP-0223,"Blue tarp, Blue designed fleece blanket, Eye glasses, Air pump, 3 tools, Green dog toy",,70 Days,5/3/2024,yes,
1965,2/27/2024,Meridian Ave Ne & N 133rd St,T1-KQR-0227,"Black princess poly jacket, gray white avalanche jacket, black hooded jacket no brand, black jeans, black hooded cold storage jacket, red gray pillow, white black star symbol dog bed, red white backpack, mauve filled with clothing, green gray sleeping bag, black hooded jacket brand time, black suitcase roller filled with clothing, cans of dog food and dry dog food, black bessport bag filled with misc items to include costume jewelry.",,70 Days,5/7/2024,no,
1969,3/6/2024,Mercer St from 2nd Ave N to 1st Ave N,T2-KQR-0306,"2 blue plastic tarps, Jaquar suitcase brown, broken amazon tablet w/cracked screen, other misc items, Delsey Paristown suitcase dark blue gray w/black backpack with misc clothing, 5 packs of columbia mens socks, pair of black bombas sock E-360 gray jumprope, gray small camping tent, gray blanket, brown white blanket w/hole, pari of omni tech blue snow pants, boston trader jacket, t power ventilation fan, blue tarp new in package. ",,70 Days,5/15/2024,yes,
1970,3/6/2024,Mercer St from 2nd Ave N to 1st Ave N,T3-KQR-0306,"Gray costco bag w/misc items and bible, diary, shredded $20 bill in a wood box, headlamp, vont lantern, artsound radio, silver colored chain, 3 gold colored chains, kiss brand fingernail kit, sketches leporad print slip on shoes, AG rubber bag 16GB apple ipad w/cracked screen, black earphones, black trailmaker backpack audio cables, pokemon cards, baseball cards, assorted loose clothing",,70 Days,5/15/2024,yes,
1967,3/7/2024,2nd Ave from Blanchard St to Lenora St,T1-SP-0307,"Blue Aero bag w/toilet paper and tissue, Blue tend bag, Green yoga mat, Grey yoga mat, Yellow umbrella, Cable lock, Grey tent w/cable stakes, Sharp wizard, {Precision screw driver set, Green Coleman tent",,70 Days,5/16/2024,yes,
1968,3/7/2024,Magnolia Bridge,T1-KQR-0307,"Gray blanket, 2 pillows, female cartoon figure blanket, Black white blanket w/hole, green blanket w/brown stripe, package black surgical masks, black dog seat cover w/orange trim, silver movable storage rack. ",,70 Days,5/16/2024,yes,
1971,3/11/2024,Midvale,T1-KQR-0311,"Blue laundry containing blue colman tent no poles, Nike airmax, assorted clothing, hand tools, Red glacier edge sleeping bag, greyblanket, Indigo palms pants, black spyder pants, black northface jacket, blue pc pants, assorted power cables, blue golden bear tent w/poles, white plastic bag w/assorted clothing.",,70 Days,5/20/2024,yes,
1972,3/20/2024,NW 88th St & 9th Ave NW,T1-KJ-0320,"Camping stove w/o legs, Colman lateran w/case and lateran w/o case, 4 pcs of vehicle dolly set, Hasvana chainsaw, Colman tent bag, Ryobi circular saw w/o batter, pair of black brown sneakers. ",,70 Days,5/29/2024,yes,
1973,3/27/2024,Nagel Pl from E Howell St,T2-KJ-0327,"Green tent, 3 step ladder",,70 Days,6/5/2024,yes,
1974,3/27/2024,4th Ave S & S Royal Broughman Way Vicinity,[Name Withheld],"Black garbage bag w/greent tent, Black garbage bag w/empty black gym type bag, Blue tarp, misc items",,70 Days,6/5/2024,yes,
1975,4/1/2024,E Madison St & 16th Ave,T4-KQR-0401,"Blue Diamond Back Bike front tire missing bolt, front brakes broken",1,70 Days,6/10/2024,yes,
1976,4/3/2024,Jefferson Park,T1-JL-0403,"Shopping bag w/misc clothes, 1 pair of shoes",,70 Days,6/12/2024,yes,
1977,4/11/2024,Jackson Golf Course,T1-KQR-0411,"Green inflatable mattress, Camo pattern tarp, Green northface tent without poles, Tan green texsport brand tent with poles, Green blue tarp, Green folding metal chair, Bottle ibuprofen tablets.",,70 Days,6/20/2024,yes,
1978,4/11/2024,Northacres Park,T2-KQR-0411,"Brown northend brand jacket, Blue black IVECCS 2021 brand backpack, Black metal luggage caddy broken",,70 Days,6/20/2024,yes,
1979,4/17/2024,Dr Blanche Lavizzo Park,T2-KJ-0417,"Black long sleeve dress shirt, pair of brown black merrell hiking shoes, 2 pair of brown work boots, 3 pairs of socks",,70 Days,6/26/2024,yes,
1980,4/23/2024,SW Queenanne Greenbelt,T1-KQR-0423 (10 pages),1980.pdf,3,70 Days,7/2/2024,no,
1981,4/23/2024,SW Queenanne Greenbelt,T2-KQR-0423,"Green nike tennis shoes, Paperback copy ""Franny and Zooey"" book, Hardcopy ""To Kill a Mockingbird"" book, White folding metal chair w/black cushion, Green folding bed cot w/green nylon case, Blue tent in green blue carrying bag w/poles. ",,70 Days,7/2/2024,yes,
1983,5/8/2024,Ravenna Park,"[Name Withheld]
T2-SP-0508","Blue sleeping bag, green air mattress, black yellow tent w/poles, iron pot, metal pot, white cup, broken white broom w/dustpan, broken yellow rake, hammer",,70 Days,7/17/2024,yes,
1984,5/14/2024,Carkeek Park,T1-SP-0514,"Blue tarp, blue grey Coleman tent, Black red phone cords, 1 blue glove, Tan shirt, Grey shorts, Grey gloves, Blue folder w/papers, Red spiderman dead rest, Black waller w/4 keys and key fob, ",,70 Days,7/23/2024,yes,
1985,5/21/2024,Mathews Beach,T1-CFH-0521,"Blue REI CampDome tent, Southwire Xtreme box power outlet station, Wood metal shoeshine box stand, Hardback invisible wonder book, Voyage throu the universe book, Voyage through the universe stars bkko, Nothing but the blues book, The salvage studio book.  Dr. Dre biography boopk, Beyond Mederism book, A single war man book, DeWalt tool bag, BoxHilt brank screws, Stanly fat max tape measure, Home light worksite lamp, Allen wrenches, 2 Ultra fit condoms unopened, 3M ear plugs, Bottle febreeze fabric refresher, Bottle durex massage gel, Weller brand iron heater, Weller, brand hand tool, 2 Pendleton brand red green white pillow, White red green patern blanket.",,70 Days,7/30/2024,yes,
1986,5/22/2024,1400 West Nickerson St,"[Name Withheld]
DOB: [Withheld]
[Phone # Withheld]",Mongoose Model Mountain Bike,1,70 Days,7/31/2024,yes,
1987,5/29/2024,6th Ave N   ,[Name Withheld],"4 clear bags filled with clothing, blankets and other items.",,70 Days,8/7/2024,yes,
